kernel,coreF,memF,real,predict,error
cusparse,1417,5005,241290.751393,306871.856695,0.271793
cusparse,1417,5005,223040.770764,282614.451486,0.267098
cusparse,1417,5005,203871.094743,257358.461570,0.262359
cusparse,1417,5005,182715.142982,230468.281550,0.261353
cusparse,1417,5005,322630.505451,406078.777555,0.258650
cusparse,1417,5005,274976.113249,343331.698250,0.248587
cusparse,1417,5005,225445.377201,278271.317667,0.234318
cusparse,1417,5005,173771.753679,206251.185223,0.186909
cusparse,1417,5005,118767.856521,143641.729689,0.209433
cusparse,1417,5005,121314.266757,154291.684550,0.271835
cusparse,1417,5005,101592.708002,127021.249220,0.250299
cusparse,1417,5005,76153.398174,98244.435286,0.290086
cusparse,1417,5005,51052.255055,68368.399657,0.339185
cusparse,1417,5005,26765.529330,38449.774643,0.436541
cusparse,1417,5005,15298.418483,23124.510384,0.511562
cusparse,1417,5005,375601.294585,442878.965890,0.179120
cusparse,1417,5005,351887.645964,405438.036778,0.152180
cusparse,1417,5005,317293.635718,366574.301592,0.155316
cusparse,1417,5005,538041.575939,654380.858612,0.216227
cusparse,1417,5005,467776.763682,570424.824840,0.219438
cusparse,1417,5005,394980.079006,483652.535594,0.224499
cusparse,1417,5005,322902.123581,393626.106560,0.219026
cusparse,1417,5005,239831.597218,295628.189245,0.232649
cusparse,1417,5005,160785.826577,202586.685720,0.259979
cusparse,1417,5005,159549.251942,208556.889761,0.307163
cusparse,1417,5005,129062.891996,169522.003478,0.313484
cusparse,1417,5005,97591.750622,129124.462658,0.323108
cusparse,1417,5005,130738.923041,172882.724417,0.322351
cusparse,1417,5005,67762.978419,90151.867129,0.330400
cusparse,1417,5005,34657.159802,47734.401260,0.377332
groupspgemm,1417,5005,548887.564253,476658.363513,0.131592
groupspgemm,1417,5005,470299.897477,430039.977263,0.085605
groupspgemm,1417,5005,417552.295484,383580.330322,0.081360
groupspgemm,1417,5005,367571.285795,336584.824398,0.084301
groupspgemm,1417,5005,315891.783882,289200.800458,0.084494
groupspgemm,1417,5005,265475.242469,241803.748160,0.089166
groupspgemm,1417,5005,211987.149117,194291.275504,0.083476
groupspgemm,1417,5005,162872.382382,146347.463404,0.101459
groupspgemm,1417,5005,123100.903026,98648.245119,0.198639
groupspgemm,1417,5005,57414.905682,50105.855501,0.127302
groupspgemm,1417,5005,56189.924525,40504.019550,0.279159
groupspgemm,1417,5005,39472.872917,30822.172401,0.219156
groupspgemm,1417,5005,30618.818544,21076.449093,0.311650
groupspgemm,1417,5005,15257.188818,11531.915139,0.244165
groupspgemm,1417,5005,10106.450514,8343.408089,0.174447
groupspgemm,1417,5005,2261598.627732,1699541.961601,0.248522
groupspgemm,1417,5005,2103022.863119,1533764.598413,0.270686
groupspgemm,1417,5005,1873488.748788,1367424.216055,0.270119
groupspgemm,1417,5005,1639945.786488,1202575.944969,0.266698
groupspgemm,1417,5005,1401462.704427,1043077.229709,0.255722
groupspgemm,1417,5005,1207521.880098,875174.107899,0.275231
groupspgemm,1417,5005,954535.462818,701408.977707,0.265183
groupspgemm,1417,5005,716890.212662,536984.683410,0.250953
groupspgemm,1417,5005,486705.043540,365780.370756,0.248456
groupspgemm,1417,5005,250140.904208,187289.915514,0.251262
groupspgemm,1417,5005,202209.906563,151238.511682,0.252072
groupspgemm,1417,5005,154457.236861,115022.780849,0.255310
groupspgemm,1417,5005,108028.965213,78300.913036,0.275186
groupspgemm,1417,5005,56925.811691,42370.446899,0.255690
groupspgemm,1417,5005,30355.437327,23725.091466,0.218424
