kernel,m2_error
BlackScholes,0.091938
SobolQRNG,0.000100
backpropBackward,0.085809
backpropForward,0.576994
cfd,0.346496
conjugateGradient,0.100450
convolutionSeparable,0.284667
convolutionTexture,0.015809
dxtc,0.265726
fastWalshTransform,0.037526
gaussian,0.636188
histogram,0.633694
hotspot,0.639639
matrixMulShared,0.013521
mergeSort,0.480426
nn,0.074045
pathfinder,0.612072
scalarProd,0.120054
scanScanExclusiveShared,0.238724
scanUniformUpdate,0.210709
sortingNetworks,0.185452
srad,0.058102
transpose,0.012532
vectorAdd,0.012552
average,0.238884
